iter	MAPE	RMSE
1969	0.06904820997	189400.844
1970	0.069045236	189399.56
1971	0.06904835091	189370.2218
1972	0.06903737134	189359.4186
1973	0.06903726029	189336.1458
1974	0.06902578438	189319.8285
1975	0.06902189333	189292.6159
1976	0.06902256374	189276.5709
1977	0.06902291596	189265.5181
1978	0.06901147539	189261.1342
1979	0.06900114853	189247.9083
1980	0.06899569375	189244.8986
1981	0.06900057927	189232.8109
1982	0.06899763251	189207.4758
1983	0.06897617912	189199.0462
1984	0.06896527159	189195.0685
1985	0.06896549128	189189.6393
1986	0.06894981858	189116.7806
1987	0.06895941764	189103.9789
1988	0.06896774171	189086.903
1989	0.06896045879	189033.3305
1990	0.06894782448	189015.0378
